model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_recon_total,196,1.710422666954443,-1.2796854521552414,-0.42239914752591046
QG,A,V_recon_total,197,1.7191493132144147,-1.278072991319803,-0.44862819916262164
QG,A,V_recon_total,198,1.7278759594743862,-1.2763632002778158,-0.47482308602503115
QG,A,V_recon_total,199,1.736602605734358,-1.2745562092364857,-0.5009818132710881
QG,A,V_recon_total,200,1.7453292519943295,-1.2726521558051773,-0.527102388812434
QG,A,V_recon_total,201,1.7540558982543013,-1.2706511849849316,-0.5531828234661125
QG,A,V_recon_total,202,1.7627825445142729,-1.268553449157423,-0.5792211311060492
QG,A,V_recon_total,203,1.7715091907742444,-1.2663591080733565,-0.6052153288143062
QG,A,V_recon_total,204,1.7802358370342162,-1.2640683288403018,-0.6311634370320883
QG,A,V_recon_total,205,1.7889624832941877,-1.2616812859099662,-0.6570634797104911
QG,A,V_recon_total,206,1.7976891295541595,-1.2591981610649108,-0.6829134844609899
QG,A,V_recon_total,207,1.806415775814131,-1.2566191434047067,-0.7087114827056392
QG,A,V_recon_total,208,1.8151424220741028,-1.2539444293315332,-0.7344555098269933
QG,A,V_recon_total,209,1.8238690683340744,-1.251174222535223,-0.7601436053177132
QG,A,V_recon_total,210,1.8325957145940461,-1.2483087339777488,-0.7857738129298731
QG,A,V_recon_total,211,1.8413223608540177,-1.2453481818771583,-0.8113441808239307
QG,A,V_recon_total,212,1.8500490071139892,-1.2422927916909565,-0.8368527617173718
QG,A,V_recon_total,213,1.858775653373961,-1.239142796098935,-0.8622976130330018
QG,A,V_recon_total,214,1.8675022996339325,-1.2358984349854543,-0.8876767970468776
QG,A,V_recon_total,215,1.8762289458939043,-1.2325599554211744,-0.9129883810358783
QG,A,V_recon_total,216,1.8849555921538759,-1.2291276116442391,-0.9382304374248844
QG,A,V_recon_total,217,1.8936822384138476,-1.2256016650409158,-0.9634010439335744
QG,A,V_recon_total,218,1.9024088846738192,-1.22198238412569,-0.9884982837228096
QG,A,V_recon_total,219,1.911135530933791,-1.2182700445208159,-1.013520245540613
QG,A,V_recon_total,220,1.9198621771937625,-1.2144649289353278,-1.0384650238677144
QG,A,V_recon_total,221,1.928588823453734,-1.2105673271435082,-1.0633307190626677
QG,A,V_recon_total,222,1.9373154697137058,-1.2065775359628252,-1.088115437506513
QG,A,V_recon_total,223,1.9460421159736774,-1.2024958592313235,-1.112817291746981
QG,A,V_recon_total,224,1.9547687622336491,-1.1983226077844897,-1.1374344006422359
QG,A,V_recon_total,225,1.9634954084936207,-1.194058099431578,-1.1619648895041252
QG,A,V_recon_total,226,1.9722220547535925,-1.1897026589314108,-1.186406890240949
QG,A,V_recon_total,227,1.980948701013564,-1.1852566179676451,-1.2107585414997193
